HHID,elderly_hoh,sex_hoh
000101051901301,Elderly HoH: YES,Male
000101051901302,Elderly HoH: YES,Female
000101051901303,Elderly HoH: NO,Female
000101051901304,Elderly HoH: YES,Male
000101051901305,Elderly HoH: NO,Male
000101051901308,Elderly HoH: YES,Female
000101051901309,Elderly HoH: YES,Female
000101051901310,Elderly HoH: YES,Male
000101051901311,Elderly HoH: NO,Male
000101051901312,Elderly HoH: NO,Female
000101051901313,Elderly HoH: NO,Male
000101051901314,Elderly HoH: NO,Male
000101051901318,Elderly HoH: NO,Male
000101051901319,Elderly HoH: YES,Female
000101051901320,Elderly HoH: NO,Female
000101051901321,Elderly HoH: YES,Male
000101051901323,Elderly HoH: NO,Male
000101051901324,Elderly HoH: NO,Male
000101051901325,Elderly HoH: NO,Male
000101051901326,Elderly HoH: NO,Female
000101051901327,Elderly HoH: NO,Male
000101051901328,Elderly HoH: NO,Male
000101051901329,Elderly HoH: NO,Female
000101051901330,Elderly HoH: NO,Male
000101051901331,Elderly HoH: NO,Female
000101051901332,Elderly HoH: NO,Female
000101051901333,Elderly HoH: NO,Female
000101051901334,Elderly HoH: NO,Male
000101051901335,Elderly HoH: NO,Male
000101051901336,Elderly HoH: NO,Male
000101051901344,Elderly HoH: NO,Female
000101051901345,Elderly HoH: YES,Female
000101051901351,Elderly HoH: NO,Male
000101051901352,Elderly HoH: YES,Male
000101051901358,Elderly HoH: NO,Male
000101051901359,Elderly HoH: NO,Male
000101090900901,Elderly HoH: YES,Male
000101090900902,Elderly HoH: NO,Male
000101090900903,Elderly HoH: NO,Male
000101090900904,Elderly HoH: NO,Female
000101090900905,Elderly HoH: NO,Male
000101090900906,Elderly HoH: NO,Female
000101090900907,Elderly HoH: NO,Male
000101090900908,Elderly HoH: NO,Male
000101090900909,Elderly HoH: NO,Female
000101090900910,Elderly HoH: YES,Male
000101090900912,Elderly HoH: NO,Female
000101090900913,Elderly HoH: NO,Female
000101090900914,Elderly HoH: NO,Female
000101090900915,Elderly HoH: YES,Female
000101090900916,Elderly HoH: YES,Female
000101090900917,Elderly HoH: NO,Male
000101090900918,Elderly HoH: NO,Female
000101090900920,Elderly HoH: NO,Male
000101090900921,Elderly HoH: NO,Female
000101090900922,Elderly HoH: NO,Female
000101090900923,Elderly HoH: YES,Female
000101090900924,Elderly HoH: NO,Male
000101090900925,Elderly HoH: NO,Male
000101090900926,Elderly HoH: NO,Male
000101090900927,Elderly HoH: NO,Male
000101090900928,Elderly HoH: NO,Male
000101090900940,Elderly HoH: NO,Male
000101090900948,Elderly HoH: NO,Male
000101150501901,Elderly HoH: NO,Male
000101150501902,Elderly HoH: YES,Male
000101150501903,Elderly HoH: YES,Male
000101150501904,Elderly HoH: NO,Male
000101150501905,Elderly HoH: NO,Female
000101150501906,Elderly HoH: NO,Female
000101150501907,Elderly HoH: NO,Male
000101150501908,Elderly HoH: NO,Male
000101150501909,Elderly HoH: NO,Female
000101150501910,Elderly HoH: NO,Male
000101150501911,Elderly HoH: NO,Male
000101150501912,Elderly HoH: NO,Female
000101150501913,Elderly HoH: YES,Male
000101150501914,Elderly HoH: NO,Male
000101150501915,Elderly HoH: NO,Female
000101150501916,Elderly HoH: YES,Male
000101150501917,Elderly HoH: NO,Male
000101150501918,Elderly HoH: NO,Male
000101150501919,Elderly HoH: NO,Female
000101150501920,Elderly HoH: NO,Male
000101150501921,Elderly HoH: NO,Male
000101150501922,Elderly HoH: NO,Male
000101150501923,Elderly HoH: NO,Male
000101150501924,Elderly HoH: YES,Male
000101150501925,Elderly HoH: NO,Male
000101190302901,Elderly HoH: NO,Female
000101190302902,Elderly HoH: YES,Female
000101190302904,Elderly HoH: NO,Female
000101190302905,Elderly HoH: NO,Female
000101190302906,Elderly HoH: NO,Female
000101190302907,Elderly HoH: NO,Female
000101190302908,Elderly HoH: NO,Female
000101190302909,Elderly HoH: NO,Female
000101190302910,Elderly HoH: NO,Female
000101190302911,Elderly HoH: NO,Female
000101190302912,Elderly HoH: NO,Female
000101190302913,Elderly HoH: NO,Female
000101190302914,Elderly HoH: NO,Female
000101190302915,Elderly HoH: NO,Female
000101190302916,Elderly HoH: YES,Male
000101190302917,Elderly HoH: NO,Female
000101190302919,Elderly HoH: NO,Female
000101190302920,Elderly HoH: NO,Female
000101190302921,Elderly HoH: NO,Female
000101190302922,Elderly HoH: NO,Female
000101190302923,Elderly HoH: NO,Female
000101190302924,Elderly HoH: NO,Female
000101190302925,Elderly HoH: NO,Male
000101190302926,Elderly HoH: NO,Female
000101190302927,Elderly HoH: NO,Female
000101190302928,Elderly HoH: NO,Male
000101190302929,Elderly HoH: NO,Female
000101190302930,Elderly HoH: NO,Male
000101190302931,Elderly HoH: NO,Male
000101190302932,Elderly HoH: NO,Male
000101190302933,Elderly HoH: NO,Female
000101190302936,Elderly HoH: NO,Female
000101190302951,Elderly HoH: NO,Female
000101196100701,Elderly HoH: NO,Male
000101196100702,Elderly HoH: NO,Male
000101196100703,Elderly HoH: NO,Male
000101196100704,Elderly HoH: YES,Female
000101196100705,Elderly HoH: NO,Male
